"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"100506965",1,0.167122775372594,1,0.189762746929338
"100507135",0,0,0,0
"100507290",-1,-0.187961916348844,-1,-0.223080847081957
"100507321",1,0.194021641425528,1,0.173645207721299
"100507388",0,0,0,0
"100507404",0,0,1,0.0666106829799102
"100507436",0,0,0,0
"10052",-1,-0.187598827866493,-1,-0.166583455650827
"100526833",0,0,0,0
"100528032",0,0,1,0.207293843899567
"100529855",1,0.191527234529021,1,0.236676839383963
"10056",-1,-0.150498471150392,-1,-0.187511731444223
"10057",0,0,0,0
"10058",-1,-0.286589234673306,-1,-0.359632948598455
"10060",1,0.1340615254756,1,0.142915686227223
"10063",-1,-0.160079597129037,-1,-0.130025303116032
"100652739",1,0.0869601902468196,0,0
"100652939",0,0,0,0
"100653515",0,0,0,0
"10066",-1,-0.270132173508136,-1,-0.297496240907998
"10069",1,0.101012482314777,0,0
"10071",0,0,0,0
"10072",-1,-0.324463500466489,-1,-0.410044734004482
"10076",-1,-0.457220316140569,-1,-0.478931574564567
"10077",1,0.32289964370192,1,0.32604208325161
"10079",1,0.116487906819261,1,0.107990500845579
"10082",1,0.675353125361521,1,0.435714649442788
"10085",1,0.723183579503782,1,0.645468780918036
"100852405",-1,-0.119826400055423,-1,-0.146709661798424
"100861548",1,0.0816452356520809,1,0.149857664440278
"1009",0,0,0,0
"10090",-1,-0.176399154797218,-1,-0.270897195738167
"10094",-1,-0.179638749696763,-1,-0.167912898922169
"10095",-1,-0.401221049690256,-1,-0.46232192759577
"10096",-1,-0.160621669001715,-1,-0.214572001752153
"10098",1,0.179386048367559,1,0.158739173855629
"100996485",0,0,0,0
"100996702",0,0,0,0
"10100",1,0.129064407567098,0,0
"10102",1,0.12885499323319,0,0
"10105",0,0,0,0
"10110",0,0,0,0
"10112",0,0,0,0
"10113",-1,-0.0951414673596922,-1,-0.12096016461783
"10117",1,0.664426037026539,1,0.813207412499458
"1012",0,0,0,0
"10123",0,0,0,0
"10124",0,0,-1,-0.127627856303265
"10125",1,0.315427023792797,1,0.410337926772775
"10129",1,0.186913806144576,1,0.204266173982067
"10130",0,0,-1,-0.117061905476694
"10135",-1,-0.531878612996758,-1,-0.644546329775821
"10138",0,0,0,0
"10140",1,0.129250376418875,1,0.113993772126973
"10144",1,0.376213113404632,1,0.272655849440456
"10148",-1,-0.145056592696296,-1,-0.204865202801291
"10149",-1,-0.11228787553267,-1,-0.174706740192613
"10151",0,0,0,0
"10152",1,0.146375078414382,1,0.196540253856888
"10154",1,0.323850213517948,1,0.41551106210473
"10157",-1,-0.423373518353108,-1,-0.45019114429161
"10159",0,0,0,0
"10160",0,0,1,0.159427723139697
"10161",0,0,0,0
"10162",-1,-0.617917578883755,-1,-0.574437412769369
"10163",-1,-0.109219165601631,-1,-0.119828909093793
"10165",-1,-0.30648440046286,-1,-0.353902335269011
"10166",-1,-0.151404147887857,-1,-0.106031270406207
"1017",-1,-0.41803397090063,-1,-0.498057440974178
"10170",0,0,1,0.136161614779411
"10171",-1,-0.0959927116380124,-1,-0.138403677131457
